대표지번,진행단계,위도,경도,cate_code
당산동4가 88,안전진단,37.52915,126.89894,0
대림동 696,안전진단,37.4957573,126.899936,0
문래동3가 77-2,안전진단,37.51702,126.89591,0
양평동3가 79-4,안전진단,37.5282501,126.8914746,0
여의도동 40,안전진단,37.5184931,126.9395997,0
신길동 4656,안전진단,37.3335204,126.77378,0
당산동3가 2-6,안전진단,37.52616,126.89724,0
신길동 365,안전진단,37.3335204,126.77378,0
여의도동 11-1,안전진단,37.5273747,126.9166492,0
여의도동 32,안전진단,37.5189754,126.9389194,0
신길동 364,안전진단,37.3335204,126.77378,0
구수동 16-1,정비계획 수립,37.54616,126.93299,1
마천동 45-,정비계획 수립,37.49803,127.15167,1
개봉동 49,정비계획 수립,37.4931629,126.851736,1
원효로1가 82-1,정비계획 수립,37.537689150000006,126.96732507803657,1
마장동 382,정비계획 수립,37.56743,127.04045,1
마천동 183-1,정비계획 수립,35.1267919,128.7835554,1
청파동1가 46,정비계획 수립,37.5488,126.96668,1
신사동 200,정비계획 수립,37.52232055,127.02770186675215,1
현석동 1-31,정비계획 수립,37.54254,126.93469,1
홍은동 8-400,정비계획 수립,37.59296,126.93733,1
신정동 913,정비계획 수립,35.53487,129.31199,1
고척동 253,정비계획 수립,37.5034631,126.8585846,1
효창동 5-307,정비계획 수립,37.54341,126.96037,1
한강로3가 40-881,정비계획 수립,37.52754,126.96297,1
홍제동 298-9,정비계획 수립,37.5871,126.94676,1
염리동 488-14,정비계획 수립,37.54914,126.94915,1
명일동 56,정비계획 수립,37.54841,127.15158,1
대림동 786-2,정비계획 수립,35.86723,128.74766,1
가리봉동 115,정비계획 수립,37.4838745,126.8889756,1
응암동 700,정비계획 수립,37.59418,126.92555,1
수유동 170-1,정비계획 수립,37.6352212,127.0090642,1
응암동 755,정비계획 수립,37.59418,126.92555,1
목동 232,정비계획 수립,37.5502462,126.86429110559628,1
가산동 666-666,정비계획 수립,37.47532525,126.88639535805152,1
홍제동 311-1,정비계획 수립,37.5871,126.94676,1
종암동 125-35,정비계획 수립,37.59631,127.03333,1
석관동 62-1,정비계획 수립,37.60789015,127.06148520004992,1
청량리동 19,정비계획 수립,37.58683775,127.05117755561722,1
불광동 329-13,정비계획 수립,37.6160647,126.9339579,1
도림동 26-21,정비계획 수립,37.5082619,126.8993866115764,1
대림동 855-1,정비계획 수립,37.4957573,126.899936,1
응암동 700,정비계획 수립,37.59418,126.92555,1
신사동 338-41,정비계획 수립,37.52232055,127.02770186675215,1
북아현동 221-7,정비계획 수립,37.55947205,126.9552493630483,1
신림동 675,정비계획 수립,37.48682825,126.92826657522512,1
영등포동4가 423-,정비계획 수립,37.51777,126.90368,1
신길동 1343,정비계획 수립,37.3335204,126.77378,1
도림동 239-12,정비계획 수립,37.5082619,126.8993866115764,1
상도동 244-1,정비계획 수립,37.4988159,126.9441045,1
목동 523,정비계획 수립,37.5345787,126.87967448346438,1
한강로3가 65-342,정비계획 수립,37.52754,126.96297,1
신길동 147-80,정비계획 수립,37.3335204,126.77378,1
서계동 33-1,정비계획 수립,37.55234,126.96595,1
한강로1가 231-30,정비계획 수립,37.53517,126.97404,1
공덕동 11-24,정비계획 수립,37.54992705,126.95928971994924,1
가산동 12-32,정비계획 수립,37.47532525,126.88639535805152,1
면목동 69-14,정비계획 수립,37.58178,127.09034,1
신길동 4918-5,정비계획 수립,37.3335204,126.77378,1
신길동 278-121,정비계획 수립,37.3335204,126.77378,1
가리봉동 87-177,정비계획 수립,37.4838745,126.8889756,1
천호동 214-19,정비계획 수립,37.54294,127.12733,1
신길동 1358,정비계획 수립,37.3335204,126.77378,1
신길동 96-24,정비계획 수립,37.3335204,126.77378,1
당산동3가 410-,정비계획 수립,37.52616,126.89724,1
대림동 807-13,정비계획 수립,37.4957573,126.899936,1
신림동 412,정비계획 수립,37.48682825,126.92826657522512,1
영등포동 618-83,정비계획 수립,37.5222786,126.90785736304468,1
이문동 170-65,정비계획 수립,37.60021,127.06124,1
합정동 376-3,정비계획 수립,37.5477846,126.90956355330226,1
망우동 461,정비계획 수립,37.600581250000005,127.10336899657526,1
당산동5가 7-2,정비계획 수립,37.53208,126.90102,1
번동 441-3,정비계획 수립,37.62929,127.03684,1
남가좌동 11-11,정비계획 수립,37.57744,126.9179,1
번동 148,정비계획 수립,37.62929,127.03684,1
종암동 3-10,정비계획 수립,37.59631,127.03333,1
청파동1가 89-18,정비계획 수립,37.5488,126.96668,1
당산동6가 104,정비계획 수립,37.5369887,126.8960409,1
신정동 314,정비계획 수립,35.53487,129.31199,1
신길동 1448-1,정비계획 수립,37.3335204,126.77378,1
명일동 44,정비계획 수립,37.54841,127.15158,1
미아동 791-2882,정비계획 수립,37.628995,127.02575433718266,1
자양동 57-90,정비계획 수립,36.3366812,127.4490374,1
문래동1가 13,정비계획 수립,37.51217,126.89799,1
시흥동 1002-2,정비계획 수립,37.4507049,126.9085555,1
쌍문동 724,정비계획 수립,37.65347,127.02715,1
미아동 258,정비계획 수립,37.628995,127.02575433718266,1
마곡동 327-53,정비구역지정,37.56619,126.8255083,2
문래동2가 14-84,정비구역지정,37.5128036,126.8929788,2
불광동 227-7,정비구역지정,37.6160647,126.9339579,2
중화동 329-38,정비구역지정,37.59755,127.07783,2
시흥동 810,정비구역지정,37.4507049,126.9085555,2
자양동 695,정비구역지정,37.5329735,127.0727409,2
중곡동 18-24,정비구역지정,37.56286,127.08921,2
대조동 59-1,정비구역지정,37.61261,126.92278351858204,2
명일동 257,정비구역지정,37.54841,127.15158,2
교남동 28,정비구역지정,37.5707991,126.9608805,2
오금동 43,정비구역지정,37.35395724999999,126.93242287905082,2
공덕동 115-97,정비구역지정,37.54992705,126.95928971994924,2
구로동 715-24,정비구역지정,37.4945849,126.8845477,2
영등포동7가 105-7,정비구역지정,37.5246695,126.9073675901746,2
목동 911,정비구역지정,36.3341817,127.4091513,2
영등포동2가 34-4,정비구역지정,37.52125,126.91222,2
영등포동5가 34-16,정비구역지정,37.52095,126.9066,2
영등포동2가 333-,정비구역지정,37.52125,126.91222,2
영등포동2가 170-,정비구역지정,37.52125,126.91222,2
상계동 154-3,정비구역지정,37.66727,127.07242,2
궁동 213-27,정비구역지정,37.5006694,126.8280726,2
영등포동2가 213-,정비구역지정,37.52291035,126.9067619666343,2
영등포동2가 159-,정비구역지정,37.52125,126.91222,2
가락동 96-1,정비구역지정,35.190215,128.8920173,2
교남동 28,정비구역지정,37.5707991,126.9608805,2
수색동 32-13,정비구역지정,37.58518725,126.8948584489098,2
천호동 461-31,정비구역지정,37.54294,127.12733,2
영등포동5가 64,정비구역지정,37.52095,126.9066,2
영등포동5가 49-1,정비구역지정,37.52095,126.9066,2
영등포동5가 34-46,정비구역지정,37.52095,126.9066,2
문래동1가 70-1,정비구역지정,37.51217,126.89799,2
영등포동2가 34-75,정비구역지정,37.52125,126.91222,2
영등포동2가 256-,정비구역지정,37.52125,126.91222,2
영등포동2가 328-11,정비구역지정,37.52125,126.91222,2
영등포동5가 38-3,정비구역지정,37.52095,126.9066,2
영등포동5가 100,정비구역지정,37.52095,126.9066,2
영등포동2가 299-,정비구역지정,37.52125,126.91222,2
영등포동5가 81-1,정비구역지정,37.52095,126.9066,2
영등포동5가 6,정비구역지정,37.5205902,126.9040351,2
가산동 12-31,정비구역지정,37.47532525,126.88639535805152,2
반포동 60-4,정비구역지정,37.50312,127.0014,2
신길동 205-136,정비구역지정,37.3335204,126.77378,2
불광동 600,정비구역지정,37.6160647,126.9339579,2
성산동 466,정비구역지정,37.56775,126.90263,2
영등포동5가 46-4,정비구역지정,37.52095,126.9066,2
당산동2가 30-2,조합설립추진위원회승인,37.5224036,126.89391,3
휘경동 43,조합설립추진위원회승인,37.58823975,127.0626972803802,3
양재동 18-12,조합설립추진위원회승인,37.46838,127.0361,3
신길동 347-86,조합설립추진위원회승인,37.3335204,126.77378,3
신정동 1190-1,조합설립추진위원회승인,35.53487,129.31199,3
신길동 3923,조합설립추진위원회승인,37.3335204,126.77378,3
영등포동7가 64-3,조합설립추진위원회승인,37.5246695,126.9073675901746,3
신길동 4-79,조합설립추진위원회승인,37.3335204,126.77378,3
이태원동 22-2,조합설립추진위원회승인,37.53842,126.992,3
양평동2가 29-6,조합설립추진위원회승인,37.52357,126.88288,3
신정동 1182-1,조합설립추진위원회승인,35.53487,129.31199,3
방배동 758-4,조합설립추진위원회승인,37.4798789,126.9939103,3
한강로3가 40-712,조합설립추진위원회승인,37.52754,126.96297,3
반포동 65-1,조합설립추진위원회승인,37.50312,127.0014,3
가산동 999-986,조합설립추진위원회승인,37.47532525,126.88639535805152,3
연희동 721-6,조합설립추진위원회승인,37.57234,126.93084,3
신문로1가 158,조합설립추진위원회승인,37.57017,126.97417,3
방배동 872-11,조합설립추진위원회승인,37.4798789,126.9939103,3
가산동 112-123,조합설립추진위원회승인,37.47532525,126.88639535805152,3
도곡동 934-10,조합설립추진위원회승인,37.4878395,127.0438569,3
면목동 69-14,조합설립추진위원회승인,37.58178,127.09034,3
당산동3가 394,조합설립추진위원회승인,37.52616,126.89724,3
신길동 355-310,조합설립추진위원회승인,37.3335204,126.77378,3
중림동 398,조합설립추진위원회승인,37.5567609,126.96630371330951,3
신길동 355-315,조합설립추진위원회승인,37.3335204,126.77378,3
신길동 355-347,조합설립추진위원회승인,37.3335204,126.77378,3
성북동 179-68,조합설립추진위원회승인,37.59552,126.99215,3
신길동 263-56,조합설립추진위원회승인,37.3335204,126.77378,3
창신동 330-1,조합설립추진위원회승인,37.57595,127.01313,3
시흥동 871,조합설립추진위원회승인,37.4507049,126.9085555,3
용두동 23-1,조합설립추진위원회승인,37.57616,127.03476,3
이촌동 211-2,조합설립추진위원회승인,37.52086,126.96612,3
압구정동 414,조합설립추진위원회승인,37.5300432,127.0313346,3
휘경동 43-188,조합설립추진위원회승인,37.58773,127.06526,3
도곡동 869,조합설립추진위원회승인,37.4878395,127.0438569,3
염리동 105,조합설립추진위원회승인,37.547645,126.9431093,3
봉천동 913-1,조합설립추진위원회승인,37.484665,126.9484961,3
상봉동 107-1,조합설립추진위원회승인,37.60286415,127.0862750302752,3
성수동1가 22-13,조합설립추진위원회승인,37.5435,127.03742,3
신월동 487-4,조합설립추진위원회승인,37.52782,126.83692,3
정릉동 894,조합설립추진위원회승인,37.61654,126.99794,3
미아동 6,조합설립추진위원회승인,37.628995,127.02575433718266,3
중화동 131-35,조합설립추진위원회승인,37.59755,127.07783,3
가산동 146-78,조합설립추진위원회승인,37.47532525,126.88639535805152,3
독산동 147-20,조합설립추진위원회승인,37.468399,126.8979571,3
면목동 172-1,조합설립추진위원회승인,37.58178,127.09034,3
창신동 23-2,조합설립추진위원회승인,37.57595,127.01313,3
영등포동2가 34-81,조합설립추진위원회승인,37.52125,126.91222,3
잠원동 61-1,조합설립추진위원회승인,37.5182544,127.01240284968917,3
송파동 100-,조합설립추진위원회승인,37.50479,127.11369,3
청량리동 235-1,조합설립추진위원회승인,37.58831,127.0459,3
신대방동 600-14,조합설립추진위원회승인,37.4955756,126.9195788,3
이촌동 203-75,조합설립추진위원회승인,37.52086,126.96612,3
시흥동 810,조합설립추진위원회승인,37.4507049,126.9085555,3
영등포동2가 253,조합설립추진위원회승인,37.52125,126.91222,3
천호동 532-2,조합설립추진위원회승인,37.54294,127.12733,3
용두동 52-28,조합설립추진위원회승인,37.57616,127.03476,3
화곡동 1040-24,조합설립추진위원회승인,37.54208,126.84656,3
내자동 81,조합설립추진위원회승인,37.57522,126.97146,3
중림동 186-1,조합설립추진위원회승인,37.5567609,126.96630371330951,3
미아동 45-32,조합설립추진위원회승인,37.628995,127.02575433718266,3
수유동 472-81,조합설립추진위원회승인,37.6352212,127.0090642,3
중화동 324,조합설립추진위원회승인,37.59755,127.07783,3
수유동 170-2,조합설립추진위원회승인,37.6352212,127.0090642,3
미아동 61-79,조합설립추진위원회승인,37.628995,127.02575433718266,3
상봉동 50-1,조합설립추진위원회승인,35.203496599999994,128.07191852499722,3
반포동 1-8,조합설립추진위원회승인,37.50312,127.0014,3
고척동 103-4,조합설립추진위원회승인,37.5034631,126.8585846,3
신수동 225-7,조합설립추진위원회승인,34.898858,128.0730913,3
문래동3가 76-1,조합설립추진위원회승인,37.51702,126.89591,3
용두동 53-6,조합설립추진위원회승인,37.57616,127.03476,3
성수동1가 656-421,조합설립추진위원회승인,37.5435,127.03742,3
수유동 291-224,조합설립추진위원회승인,37.6352212,127.0090642,3
봉천동 63-89,조합설립추진위원회승인,37.484665,126.9484961,3
흑석동 99-3,조합설립추진위원회승인,37.5064393,126.963687,3
후암동 142-4,조합설립추진위원회승인,37.55011,126.98028,3
양평동1가 9-6,조합설립추진위원회승인,37.52309,126.88868,3
금호동2가 684,조합설립추진위원회승인,37.55311,127.0211,3
가산동 547-44,조합설립추진위원회승인,37.47532525,126.88639535805152,3
마포동 350,조합설립추진위원회승인,37.53672,126.94288,3
장위동 350,조합설립추진위원회승인,37.6162,127.05086,3
오류동 206-2,조합설립추진위원회승인,36.3253384,127.4050329,3
홍제동 306-2,조합설립추진위원회승인,37.5871,126.94676,3
행당동 248,조합설립추진위원회승인,37.55783,127.03571,3
성내동 288-1,조합설립인가,37.52998,127.12875,4
개봉동 199-4,조합설립인가,37.4931629,126.851736,4
방배동 725,조합설립인가,37.4798789,126.9939103,4
고척동 241-2,조합설립인가,37.5034631,126.8585846,4
번동 457-1,조합설립인가,37.62929,127.03684,4
신사동 261-20,조합설립인가,37.52232055,127.02770186675215,4
신천동 7-,조합설립인가,37.43961375,126.77885557449832,4
용답동 234,조합설립인가,37.5613328,127.05801460358003,4
가락동 192,조합설립인가,35.190215,128.8920173,4
마천동 283-,조합설립인가,37.49803,127.15167,4
대치동 316,조합설립인가,37.5027147,127.0672718,4
문래동4가 23-6,조합설립인가,37.514477,126.8898892,4
신림동 419-1,조합설립인가,37.48682825,126.92826657522512,4
사당동 196,조합설립인가,37.4849354,126.9699231,4
면목동 10-2,조합설립인가,37.5923937,127.07919869705836,4
석관동 332-46,조합설립인가,37.60789015,127.06148520004992,4
이촌동 302-48,조합설립인가,37.52086,126.96612,4
신길동 4759,조합설립인가,37.3335204,126.77378,4
이촌동 402,조합설립인가,37.52086,126.96612,4
이촌동 300-10,조합설립인가,37.52086,126.96612,4
궁동 236-1,조합설립인가,37.5006694,126.8280726,4
여의도동 28,조합설립인가,37.5214552,126.9301999,4
방화동 247-71,조합설립인가,37.57682,126.81422,4
잠원동 61-2,조합설립인가,37.5182544,127.01240284968917,4
홍제동 326-5,조합설립인가,37.5871,126.94676,4
일원동 615,조합설립인가,37.48754,127.08705,4
암사동 495,조합설립인가,37.5582352,127.1308542,4
궁동 171-1,조합설립인가,35.1506767,126.9183969,4
신림동 1448-1,조합설립인가,37.48682825,126.92826657522512,4
상도동 154-30,조합설립인가,37.4988159,126.9441045,4
당산동5가 7-2,조합설립인가,37.53208,126.90102,4
전농동 103-236,조합설립인가,37.5823142,127.0483446,4
길음동 31-1,조합설립인가,37.6085308,127.0201946,4
압구정동 490,조합설립인가,37.5300432,127.0313346,4
잠원동 60-78,조합설립인가,37.5182544,127.01240284968917,4
대림동 700-1,조합설립인가,37.4957573,126.899936,4
도곡동 465,조합설립인가,37.4878395,127.0438569,4
이문동 168-1,조합설립인가,37.60021,127.06124,4
대림동 990-7,조합설립인가,37.4957573,126.899936,4
고척동 241-63,조합설립인가,37.5034631,126.8585846,4
방배동 980-36,조합설립인가,37.4798789,126.9939103,4
공덕동 119,조합설립인가,37.54992705,126.95928971994924,4
영등포동5가 22-3,조합설립인가,37.52095,126.9066,4
동소문동2가  33,조합설립인가,37.58839,127.00785,4
영등포동5가 30,조합설립인가,37.52095,126.9066,4
장위동 233-42,조합설립인가,37.6162,127.05086,4
홍은동 277-45,조합설립인가,37.59296,126.93733,4
하월곡동 40-107,조합설립인가,37.60444,127.03764,4
상도동 356-159,조합설립인가,36.01528,129.35519,4
정릉동 175,조합설립인가,37.61654,126.99794,4
잠원동 73,조합설립인가,37.5156693,127.0177235,4
정릉동 218-1,조합설립인가,37.61654,126.99794,4
방배동 528-3,조합설립인가,37.4798789,126.9939103,4
미아동 791-108,조합설립인가,37.628995,127.02575433718266,4
상계동 109-43,조합설립인가,37.66727,127.07242,4
북가좌동 372-1,조합설립인가,37.57953,126.91156,4
길동 54,조합설립인가,37.53736,127.14703,4
여의도동 30,조합설립인가,37.5217718,126.9266205,4
광장동 332-9,조합설립인가,37.54711,127.10414,4
창동 501-13,조합설립인가,37.64643,127.04326,4
정릉동 670-24,조합설립인가,37.61654,126.99794,4
성북동 300-5,조합설립인가,37.59552,126.99215,4
정릉동 545-12,조합설립인가,37.61654,126.99794,4
성수동1가 656-1267,조합설립인가,37.5435,127.03742,4
장위동 219-114,조합설립인가,37.6162,127.05086,4
안암동3가 54,조합설립인가,37.58371,127.02359,4
여의도동 42,조합설립인가,37.5215591,126.9248627,4
창신동 459-12,조합설립인가,37.57595,127.01313,4
가락동 55,조합설립인가,35.190215,128.8920173,4
고척동 241-11,조합설립인가,37.5034631,126.8585846,4
화곡동 359-124,조합설립인가,37.54208,126.84656,4
방화동 589-13,조합설립인가,37.57682,126.81422,4
시흥동 920-13,조합설립인가,37.41911,127.10186,4
미아동 8-373,조합설립인가,37.628995,127.02575433718266,4
사당동 57-18,조합설립인가,37.4856963,126.9723525,4
홍제동 90-6,조합설립인가,37.5871,126.94676,4
면목동 192,조합설립인가,37.58178,127.09034,4
논현동 191-4,조합설립인가,37.5123018,127.0294935,4
미아동 42-8,조합설립인가,37.628995,127.02575433718266,4
논현동 62-3,조합설립인가,37.4031099,126.7261793,4
한강로3가 65-500,조합설립인가,37.52754,126.96297,4
내발산동 716-20,조합설립인가,37.5539189,126.8377194,4
수색동 366-6,조합설립인가,37.58518725,126.8948584489098,4
방화동 584-1,조합설립인가,37.57682,126.81422,4
원효로4가 109-4,조합설립인가,37.53211,126.95127,4
정릉동 545-12,조합설립인가,37.61654,126.99794,4
자양동 464-40,조합설립인가,36.3366812,127.4490374,4
영등포동7가 76-5,조합설립인가,37.5246695,126.9073675901746,4
반포동 591-1,조합설립인가,37.50312,127.0014,4
전농동 204,조합설립인가,37.5806,127.05543,4
전농동 494,조합설립인가,37.5806,127.05543,4
신림동 808-,조합설립인가,37.4730961,126.9282982,4
안암동3가 136-1,조합설립인가,37.58371,127.02359,4
