대표지번,진행단계,위도,경도
당산동4가 88,안전진단,37.52915,126.89894
여의도동 21-1,안전진단,,
대림동 696,안전진단,37.4957573,126.899936
문래동3가 77-2,안전진단,37.51702,126.89591
양평동3가 79-4,안전진단,37.5282501,126.8914746
여의도동 40-4,안전진단,,
여의도동 40,안전진단,37.5184931,126.9395997
신길동 4656,안전진단,37.3335204,126.77378
당산동3가 2-6,안전진단,37.52616,126.89724
신길동 365,안전진단,37.3335204,126.77378
여의도동 11-1,안전진단,37.5273747,126.9166492
여의도동 32,안전진단,37.5189754,126.9389194
신길동 364,안전진단,37.3335204,126.77378
여의도동 54,안전진단,,
구수동 16-1,정비계획 수립,37.54616,126.93299
마천동 45-,정비계획 수립,37.49803,127.15167
개봉동 49,정비계획 수립,37.4931629,126.851736
원효로1가 82-1,정비계획 수립,37.537689150000006,126.96732507803657
마장동 382,정비계획 수립,37.56743,127.04045
마천동 183-1,정비계획 수립,35.1267919,128.7835554
청파동1가 46,정비계획 수립,37.5488,126.96668
신사동 200,정비계획 수립,37.52232055,127.02770186675215
현석동 1-31,정비계획 수립,37.54254,126.93469
홍은동 8-400,정비계획 수립,37.59296,126.93733
신정동 913,정비계획 수립,35.53487,129.31199
고척동 253,정비계획 수립,37.5034631,126.8585846
효창동 5-307,정비계획 수립,37.54341,126.96037
한강로3가 40-881,정비계획 수립,37.52754,126.96297
홍제동 298-9,정비계획 수립,37.5871,126.94676
염리동 488-14,정비계획 수립,37.54914,126.94915
명일동 56,정비계획 수립,37.54841,127.15158
대림동 786-2,정비계획 수립,35.86723,128.74766
가리봉동 115,정비계획 수립,37.4838745,126.8889756
응암동 700,정비계획 수립,37.59418,126.92555
수유동 170-1,정비계획 수립,37.6352212,127.0090642
응암동 755,정비계획 수립,37.59418,126.92555
목동 232,정비계획 수립,37.550246200000004,126.86429110559628
가산동 666-666,정비계획 수립,37.47532525,126.88639535805152
홍제동 311-1,정비계획 수립,37.5871,126.94676
종암동 125-35,정비계획 수립,37.59631,127.03333
석관동 62-1,정비계획 수립,37.60789015,127.06148520004993
청량리동 19,정비계획 수립,37.58683775,127.05117755561722
불광동 329-13,정비계획 수립,37.6160647,126.9339579
도림동 26-21,정비계획 수립,37.508261899999994,126.8993866115764
대림동 855-1,정비계획 수립,37.4957573,126.899936
응암동 700,정비계획 수립,37.59418,126.92555
신사동 338-41,정비계획 수립,37.52232055,127.02770186675215
북아현동 221-7,정비계획 수립,37.55947205,126.9552493630483
신림동 675,정비계획 수립,37.48682825,126.92826657522511
영등포동4가 423-,정비계획 수립,37.51777,126.90368
신길동 1343,정비계획 수립,37.3335204,126.77378
도림동 239-12,정비계획 수립,37.508261899999994,126.8993866115764
상도동 244-1,정비계획 수립,37.4988159,126.9441045
목동 523,정비계획 수립,37.5345787,126.87967448346438
한강로3가 65-342,정비계획 수립,37.52754,126.96297
신길동 147-80,정비계획 수립,37.3335204,126.77378
서계동 33-1,정비계획 수립,37.55234,126.96595
한강로1가 231-30,정비계획 수립,37.53517,126.97404
공덕동 11-24,정비계획 수립,37.549927049999994,126.95928971994923
가산동 12-32,정비계획 수립,37.47532525,126.88639535805152
면목동 69-14,정비계획 수립,37.58178,127.09034
신길동 4918-5,정비계획 수립,37.3335204,126.77378
신길동 278-121,정비계획 수립,37.3335204,126.77378
가리봉동 87-177,정비계획 수립,37.4838745,126.8889756
천호동 214-19,정비계획 수립,37.54294,127.12733
신길동 1358,정비계획 수립,37.3335204,126.77378
신길동 96-24,정비계획 수립,37.3335204,126.77378
당산동3가 410-,정비계획 수립,37.52616,126.89724
대림동 807-13,정비계획 수립,37.4957573,126.899936
신림동 412,정비계획 수립,37.48682825,126.92826657522511
영등포동 618-83,정비계획 수립,37.5222786,126.90785736304467
이문동 170-65,정비계획 수립,37.60021,127.06124
합정동 376-3,정비계획 수립,37.5477846,126.90956355330226
망우동 461,정비계획 수립,37.600581250000005,127.10336899657526
당산동5가 7-2,정비계획 수립,37.53208,126.90102
번동 441-3,정비계획 수립,37.62929,127.03684
남가좌동 11-11,정비계획 수립,37.57744,126.9179
번동 148,정비계획 수립,37.62929,127.03684
종암동 3-10,정비계획 수립,37.59631,127.03333
청파동1가 89-18,정비계획 수립,37.5488,126.96668
당산동6가 104,정비계획 수립,37.5369887,126.8960409
신정동 314,정비계획 수립,35.53487,129.31199
신길동 1448-1,정비계획 수립,37.3335204,126.77378
명일동 44,정비계획 수립,37.54841,127.15158
미아동 791-2882,정비계획 수립,37.628995,127.02575433718266
자양동 57-90,정비계획 수립,36.3366812,127.4490374
문래동1가 13,정비계획 수립,37.51217,126.89799
시흥동 1002-2,정비계획 수립,37.4507049,126.9085555
쌍문동 724,정비계획 수립,37.65347,127.02715
미아동 258,정비계획 수립,37.628995,127.02575433718266
마곡동 327-53,정비구역지정,37.56619,126.8255083
문래동2가 14-84,정비구역지정,37.5128036,126.8929788
불광동 227-7,정비구역지정,37.6160647,126.9339579
중화동 329-38,정비구역지정,37.59755,127.07783
시흥동 810,정비구역지정,37.4507049,126.9085555
자양동 695,정비구역지정,37.5329735,127.0727409
중곡동 18-24,정비구역지정,37.56286,127.08921
대조동 59-1,정비구역지정,37.612610000000004,126.92278351858204
명일동 257,정비구역지정,37.54841,127.15158
교남동 28,정비구역지정,37.5707991,126.9608805
오금동 43,정비구역지정,37.35395724999999,126.93242287905082
공덕동 115-97,정비구역지정,37.549927049999994,126.95928971994923
구로동 715-24,정비구역지정,37.4945849,126.8845477
영등포동7가 105-7,정비구역지정,37.5246695,126.9073675901746
목동 911,정비구역지정,36.3341817,127.4091513
영등포동2가 34-4,정비구역지정,37.52125,126.91222
영등포동5가 34-16,정비구역지정,37.52095,126.9066
영등포동2가 333-,정비구역지정,37.52125,126.91222
영등포동2가 170-,정비구역지정,37.52125,126.91222
상계동 154-3,정비구역지정,37.66727,127.07242
궁동 213-27,정비구역지정,37.5006694,126.8280726
영등포동2가 213-,정비구역지정,37.522910350000004,126.9067619666343
영등포동2가 159-,정비구역지정,37.52125,126.91222
가락동 96-1,정비구역지정,35.190215,128.8920173
교남동 28,정비구역지정,37.5707991,126.9608805
수색동 32-13,정비구역지정,37.585187250000004,126.8948584489098
천호동 461-31,정비구역지정,37.54294,127.12733
영등포동5가 64,정비구역지정,37.52095,126.9066
영등포동5가 49-1,정비구역지정,37.52095,126.9066
영등포동5가 34-46,정비구역지정,37.52095,126.9066
문래동1가 70-1,정비구역지정,37.51217,126.89799
영등포동2가 34-75,정비구역지정,37.52125,126.91222
영등포동2가 256-,정비구역지정,37.52125,126.91222
영등포동2가 328-11,정비구역지정,37.52125,126.91222
영등포동5가 38-3,정비구역지정,37.52095,126.9066
영등포동5가 100,정비구역지정,37.52095,126.9066
영등포동2가 299-,정비구역지정,37.52125,126.91222
영등포동5가 81-1,정비구역지정,37.52095,126.9066
영등포동5가 6,정비구역지정,37.5205902,126.9040351
가산동 12-31,정비구역지정,37.47532525,126.88639535805152
반포동 60-4,정비구역지정,37.50312,127.0014
신길동 205-136,정비구역지정,37.3335204,126.77378
불광동 600,정비구역지정,37.6160647,126.9339579
성산동 466,정비구역지정,37.56775,126.90263
영등포동5가 46-4,정비구역지정,37.52095,126.9066
당산동2가 30-2,조합설립추진위원회승인,37.5224036,126.89391
휘경동 43,조합설립추진위원회승인,37.58823975,127.0626972803802
양재동 18-12,조합설립추진위원회승인,37.46838,127.0361
신길동 347-86,조합설립추진위원회승인,37.3335204,126.77378
신정동 1190-1,조합설립추진위원회승인,35.53487,129.31199
신길동 3923,조합설립추진위원회승인,37.3335204,126.77378
영등포동7가 64-3,조합설립추진위원회승인,37.5246695,126.9073675901746
신길동 4-79,조합설립추진위원회승인,37.3335204,126.77378
이태원동 22-2,조합설립추진위원회승인,37.53842,126.992
양평동2가 29-6,조합설립추진위원회승인,37.52357,126.88288
신정동 1182-1,조합설립추진위원회승인,35.53487,129.31199
방배동 758-4,조합설립추진위원회승인,37.4798789,126.9939103
한강로3가 40-712,조합설립추진위원회승인,37.52754,126.96297
반포동 65-1,조합설립추진위원회승인,37.50312,127.0014
가산동 999-986,조합설립추진위원회승인,37.47532525,126.88639535805152
연희동 721-6,조합설립추진위원회승인,37.57234,126.93084
신문로1가 158,조합설립추진위원회승인,37.57017,126.97417
방배동 872-11,조합설립추진위원회승인,37.4798789,126.9939103
가산동 112-123,조합설립추진위원회승인,37.47532525,126.88639535805152
도곡동 934-10,조합설립추진위원회승인,37.4878395,127.0438569
면목동 69-14,조합설립추진위원회승인,37.58178,127.09034
당산동3가 394,조합설립추진위원회승인,37.52616,126.89724
신길동 355-310,조합설립추진위원회승인,37.3335204,126.77378
중림동 398,조합설립추진위원회승인,37.5567609,126.96630371330951
신길동 355-315,조합설립추진위원회승인,37.3335204,126.77378
신길동 355-347,조합설립추진위원회승인,37.3335204,126.77378
성북동 179-68,조합설립추진위원회승인,37.59552,126.99215
신길동 263-56,조합설립추진위원회승인,37.3335204,126.77378
창신동 330-1,조합설립추진위원회승인,37.57595,127.01313
시흥동 871,조합설립추진위원회승인,37.4507049,126.9085555
용두동 23-1,조합설립추진위원회승인,37.57616,127.03476
이촌동 211-2,조합설립추진위원회승인,37.52086,126.96612
압구정동 414,조합설립추진위원회승인,37.5300432,127.0313346
휘경동 43-188,조합설립추진위원회승인,37.58773,127.06526
도곡동 869,조합설립추진위원회승인,37.4878395,127.0438569
염리동 105,조합설립추진위원회승인,37.547645,126.9431093
봉천동 913-1,조합설립추진위원회승인,37.484665,126.9484961
상봉동 107-1,조합설립추진위원회승인,37.60286415,127.0862750302752
성수동1가 22-13,조합설립추진위원회승인,37.5435,127.03742
신월동 487-4,조합설립추진위원회승인,37.52782,126.83692
정릉동 894,조합설립추진위원회승인,37.61654,126.99794
미아동 6,조합설립추진위원회승인,37.628995,127.02575433718266
중화동 131-35,조합설립추진위원회승인,37.59755,127.07783
가산동 146-78,조합설립추진위원회승인,37.47532525,126.88639535805152
독산동 147-20,조합설립추진위원회승인,37.468399,126.8979571
면목동 172-1,조합설립추진위원회승인,37.58178,127.09034
창신동 23-2,조합설립추진위원회승인,37.57595,127.01313
영등포동2가 34-81,조합설립추진위원회승인,37.52125,126.91222
잠원동 61-1,조합설립추진위원회승인,37.518254400000004,127.01240284968915
송파동 100-,조합설립추진위원회승인,37.50479,127.11369
청량리동 235-1,조합설립추진위원회승인,37.58831,127.0459
여의도동 37,조합설립추진위원회승인,,
신대방동 600-14,조합설립추진위원회승인,37.4955756,126.9195788
이촌동 203-75,조합설립추진위원회승인,37.52086,126.96612
시흥동 810,조합설립추진위원회승인,37.4507049,126.9085555
영등포동2가 253,조합설립추진위원회승인,37.52125,126.91222
장위동 68-274,조합설립추진위원회승인,,
천호동 532-2,조합설립추진위원회승인,37.54294,127.12733
용두동 52-28,조합설립추진위원회승인,37.57616,127.03476
화곡동 1040-24,조합설립추진위원회승인,37.54208,126.84656
내자동 81,조합설립추진위원회승인,37.57522,126.97146
중림동 186-1,조합설립추진위원회승인,37.5567609,126.96630371330951
미아동 45-32,조합설립추진위원회승인,37.628995,127.02575433718266
수유동 472-81,조합설립추진위원회승인,37.6352212,127.0090642
중화동 324,조합설립추진위원회승인,37.59755,127.07783
수유동 170-2,조합설립추진위원회승인,37.6352212,127.0090642
미아동 61-79,조합설립추진위원회승인,37.628995,127.02575433718266
상봉동 50-1,조합설립추진위원회승인,35.203496599999994,128.07191852499722
반포동 1-8,조합설립추진위원회승인,37.50312,127.0014
고척동 103-4,조합설립추진위원회승인,37.5034631,126.8585846
신수동 225-7,조합설립추진위원회승인,34.898858,128.0730913
여의도동 50,조합설립추진위원회승인,,
신월동 159-192,조합설립추진위원회승인,,
문래동3가 76-1,조합설립추진위원회승인,37.51702,126.89591
용두동 53-6,조합설립추진위원회승인,37.57616,127.03476
성수동1가 656-421,조합설립추진위원회승인,37.5435,127.03742
수유동 291-224,조합설립추진위원회승인,37.6352212,127.0090642
봉천동 63-89,조합설립추진위원회승인,37.484665,126.9484961
흑석동 99-3,조합설립추진위원회승인,37.5064393,126.963687
후암동 142-4,조합설립추진위원회승인,37.55011,126.98028
양평동1가 9-6,조합설립추진위원회승인,37.52309,126.88868
금호동2가 684,조합설립추진위원회승인,37.55311,127.0211
가산동 547-44,조합설립추진위원회승인,37.47532525,126.88639535805152
마포동 350,조합설립추진위원회승인,37.53672,126.94288
장위동 350,조합설립추진위원회승인,37.6162,127.05086
오류동 206-2,조합설립추진위원회승인,36.3253384,127.4050329
여의도동 30-2,조합설립추진위원회승인,,
홍제동 306-2,조합설립추진위원회승인,37.5871,126.94676
행당동 248,조합설립추진위원회승인,37.55783,127.03571
성내동 288-1,조합설립인가,37.52998,127.12875
개봉동 199-4,조합설립인가,37.4931629,126.851736
방배동 725,조합설립인가,37.4798789,126.9939103
고척동 241-2,조합설립인가,37.5034631,126.8585846
번동 457-1,조합설립인가,37.62929,127.03684
신사동 261-20,조합설립인가,37.52232055,127.02770186675215
신천동 7-,조합설립인가,37.43961375,126.77885557449832
용답동 234,조합설립인가,37.5613328,127.05801460358003
가락동 192,조합설립인가,35.190215,128.8920173
마천동 283-,조합설립인가,37.49803,127.15167
대치동 316,조합설립인가,37.5027147,127.0672718
문래동4가 23-6,조합설립인가,37.514477,126.8898892
신림동 419-1,조합설립인가,37.48682825,126.92826657522511
사당동 196,조합설립인가,37.4849354,126.9699231
면목동 10-2,조합설립인가,37.5923937,127.07919869705836
석관동 332-46,조합설립인가,37.60789015,127.06148520004993
이촌동 302-48,조합설립인가,37.52086,126.96612
신길동 4759,조합설립인가,37.3335204,126.77378
이촌동 402,조합설립인가,37.52086,126.96612
이촌동 300-10,조합설립인가,37.52086,126.96612
궁동 236-1,조합설립인가,37.5006694,126.8280726
여의도동 28,조합설립인가,37.5214552,126.9301999
방화동 247-71,조합설립인가,37.57682,126.81422
잠원동 61-2,조합설립인가,37.518254400000004,127.01240284968915
홍제동 326-5,조합설립인가,37.5871,126.94676
일원동 615,조합설립인가,37.48754,127.08705
암사동 495,조합설립인가,37.5582352,127.1308542
궁동 171-1,조합설립인가,35.1506767,126.9183969
신림동 1448-1,조합설립인가,37.48682825,126.92826657522511
상도동 154-30,조합설립인가,37.4988159,126.9441045
당산동5가 7-2,조합설립인가,37.53208,126.90102
전농동 103-236,조합설립인가,37.5823142,127.0483446
길음동 31-1,조합설립인가,37.6085308,127.0201946
압구정동 490,조합설립인가,37.5300432,127.0313346
잠원동 60-78,조합설립인가,37.518254400000004,127.01240284968915
대림동 700-1,조합설립인가,37.4957573,126.899936
도곡동 465,조합설립인가,37.4878395,127.0438569
이문동 168-1,조합설립인가,37.60021,127.06124
대림동 990-7,조합설립인가,37.4957573,126.899936
고척동 241-63,조합설립인가,37.5034631,126.8585846
방배동 980-36,조합설립인가,37.4798789,126.9939103
공덕동 119,조합설립인가,37.549927049999994,126.95928971994923
영등포동5가 22-3,조합설립인가,37.52095,126.9066
동소문동2가  33,조합설립인가,37.58839,127.00785
영등포동5가 30,조합설립인가,37.52095,126.9066
장위동 233-42,조합설립인가,37.6162,127.05086
홍은동 277-45,조합설립인가,37.59296,126.93733
하월곡동 40-107,조합설립인가,37.60444,127.03764
상도동 356-159,조합설립인가,36.01528,129.35519
정릉동 175,조합설립인가,37.61654,126.99794
잠원동 73,조합설립인가,37.5156693,127.0177235
정릉동 218-1,조합설립인가,37.61654,126.99794
방배동 528-3,조합설립인가,37.4798789,126.9939103
미아동 791-108,조합설립인가,37.628995,127.02575433718266
상계동 109-43,조합설립인가,37.66727,127.07242
북가좌동 372-1,조합설립인가,37.57953,126.91156
길동 54,조합설립인가,37.53736,127.14703
여의도동 30,조합설립인가,37.5217718,126.9266205
광장동 332-9,조합설립인가,37.54711,127.10414
창동 501-13,조합설립인가,37.64643,127.04326
정릉동 670-24,조합설립인가,37.61654,126.99794
성북동 300-5,조합설립인가,37.59552,126.99215
정릉동 545-12,조합설립인가,37.61654,126.99794
성수동1가 656-1267,조합설립인가,37.5435,127.03742
장위동 219-114,조합설립인가,37.6162,127.05086
안암동3가 54,조합설립인가,37.58371,127.02359
여의도동 42,조합설립인가,37.5215591,126.9248627
창신동 459-12,조합설립인가,37.57595,127.01313
가락동 55,조합설립인가,35.190215,128.8920173
고척동 241-11,조합설립인가,37.5034631,126.8585846
화곡동 359-124,조합설립인가,37.54208,126.84656
방화동 589-13,조합설립인가,37.57682,126.81422
시흥동 920-13,조합설립인가,37.41911,127.10186
미아동 8-373,조합설립인가,37.628995,127.02575433718266
사당동 57-18,조합설립인가,37.4856963,126.9723525
홍제동 90-6,조합설립인가,37.5871,126.94676
면목동 192,조합설립인가,37.58178,127.09034
논현동 191-4,조합설립인가,37.5123018,127.0294935
미아동 42-8,조합설립인가,37.628995,127.02575433718266
논현동 62-3,조합설립인가,37.4031099,126.7261793
한강로3가 65-500,조합설립인가,37.52754,126.96297
내발산동 716-20,조합설립인가,37.5539189,126.8377194
수색동 366-6,조합설립인가,37.585187250000004,126.8948584489098
방배동 593-98,조합설립인가,,
방화동 584-1,조합설립인가,37.57682,126.81422
원효로4가 109-4,조합설립인가,37.53211,126.95127
정릉동 545-12,조합설립인가,37.61654,126.99794
자양동 464-40,조합설립인가,36.3366812,127.4490374
영등포동7가 76-5,조합설립인가,37.5246695,126.9073675901746
반포동 591-1,조합설립인가,37.50312,127.0014
전농동 204,조합설립인가,37.5806,127.05543
전농동 494,조합설립인가,37.5806,127.05543
신림동 808-,조합설립인가,37.4730961,126.9282982
안암동3가 136-1,조합설립인가,37.58371,127.02359
장위동 233-552,조합설립인가,37.6162,127.05086
동빙고동 60,조합설립인가,37.5264049,126.996159
반포동 30-1,조합설립인가,37.50312,127.0014
신설동 92-5,조합설립인가,37.573478,127.0257068
이촌동 193-3,조합설립인가,37.52086,126.96612
이촌동 300-11,조합설립인가,37.5206005,126.981141
풍납동 147-1,조합설립인가,37.53387,127.11094
금호동3가 1,조합설립인가,37.54998,127.02213
방화동 598-146,조합설립인가,37.57682,126.81422
봉천동 14-120,조합설립인가,37.484665,126.9484961
신수동 91-90,조합설립인가,37.54620345,126.9359375116903
사당동 277-1,조합설립인가,37.4856963,126.9723525
봉천동 1,조합설립인가,37.4647303,126.95994046701662
시흥동 934,조합설립인가,37.41911,127.10186
번동 454-61,조합설립인가,37.62929,127.03684
정릉동 226-1,조합설립인가,37.61654,126.99794
고척동 227-1,조합설립인가,37.5034631,126.8585846
양재동 18-18,조합설립인가,37.4760162,127.0430561
구로동 153-3,조합설립인가,37.4945849,126.8845477
반포동 46,조합설립인가,37.5053425,127.021292
면목동 1251-4,조합설립인가,37.58178,127.09034
사당동 235-81,조합설립인가,37.4856963,126.9723525
풍납동 299-1,조합설립인가,37.53387,127.11094
문정동 72-3,조합설립인가,37.48434,127.12246
오금동 67-7,조합설립인가,37.348425399999996,126.92938338827679
거여동 294,조합설립인가,37.48921,127.14667
오류동 150-42,조합설립인가,36.3253384,127.4050329
압구정동 434,조합설립인가,37.5300432,127.0313346
충정로3가 250-,조합설립인가,37.5618374,126.9616577
잠실동 101-1,조합설립인가,37.5122807,127.0855986
장위동 68-833,조합설립인가,37.6162,127.05086
사당동 217-15,조합설립인가,37.4856963,126.9723525
장위동 219-133,조합설립인가,37.6162,127.05086
신림동 1480-1,조합설립인가,37.4730961,126.9282982
봉천동 728-57,조합설립인가,37.484665,126.9484961
미아동 403,조합설립인가,37.628995,127.02575433718266
잠실동 27,조합설립인가,37.5122807,127.0855986
망우동 178-1,조합설립인가,37.60178,127.1054
성수동2가 219-4,조합설립인가,37.54048,127.05601
면목동 174-74,조합설립인가,37.58178,127.09034
성수동2가 506,조합설립인가,37.54048,127.05601
서초동 1315,조합설립인가,37.48818,127.01751
종암동 81-188,조합설립인가,37.59631,127.03333
청파동2가 11-1,조합설립인가,37.54655,126.96675
양평동1가 20,조합설립인가,37.5247393,126.8836443
불광동 19-3,조합설립인가,37.6160647,126.9339579
성수동2가 572-7,조합설립인가,37.54048,127.05601
성수동1가 72-10,조합설립인가,37.5435,127.03742
답십리동 952,조합설립인가,37.57002,127.05467
가산동 555-55,조합설립인가,37.47532525,126.88639535805152
신길동 190,조합설립인가,37.3335204,126.77378
한강로1가 158-,조합설립인가,37.5329856,126.9719188
길동 332,조합설립인가,37.5398309,127.14661060476558
신당동 432-1008,조합설립인가,35.8477231,128.4864574
돈암동 48-29,조합설립인가,37.59742,127.01841
장위동 232-41,조합설립인가,37.6162,127.05086
압구정동 528,조합설립인가,37.5300432,127.0313346
신림동 1656-,조합설립인가,37.48682825,126.92826657522511
천호동 107-33,조합설립인가,37.54294,127.12733
면목동 86-19,조합설립인가,37.58178,127.09034
면목동 153-51,조합설립인가,37.58178,127.09034
오금동 147,조합설립인가,37.348425399999996,126.92938338827679
정릉동 895,조합설립인가,37.61654,126.99794
여의도동 52,조합설립인가,,
신수동 91-318,조합설립인가,37.54620345,126.9359375116903
공덕동 370-9,조합설립인가,37.549927049999994,126.95928971994923
상수동 334-11,조합설립인가,37.54743,126.92473
대림동 893-47,조합설립인가,37.4957573,126.899936
묵동 188-1,조합설립인가,37.61083,127.08109
오금동 35-1,조합설립인가,37.654355550000005,126.90066254943082
미아동 90-45,조합설립인가,37.628995,127.02575433718266
망원동 456-2,조합설립인가,37.55586,126.90087
망원동 459-1,조합설립인가,37.55586,126.90087
사당동 155-4,조합설립인가,37.4856963,126.9723525
개봉동 170-35,조합설립인가,37.4931629,126.851736
창신동 427-7,조합설립인가,37.57595,127.01313
개포동 658-1,조합설립인가,37.48421,127.07006
독산동 954,조합설립인가,37.468399,126.8979571
사당동 206-1,조합설립인가,37.4856963,126.9723525
면목동 139-52,조합설립인가,37.58178,127.09034
대조동 92-5,조합설립인가,37.612610000000004,126.92278351858204
용두동 14-1,조합설립인가,37.57616,127.03476
용두동 26-3,조합설립인가,37.57616,127.03476
미아동 767-51,조합설립인가,37.628995,127.02575433718266
한남동 29-4,조합설립인가,37.53822,127.0074
정릉동 385-1,조합설립인가,37.61654,126.99794
천호동 397-419,조합설립인가,37.54294,127.12733
천호동 337-30,조합설립인가,37.54294,127.12733
홍제동 266-238,조합설립인가,37.5871,126.94676
면목동 1271,조합설립인가,37.58178,127.09034
면목동 99-41,조합설립인가,37.58178,127.09034
시흥동 983-13,조합설립인가,37.4507049,126.9085555
홍은동 11-360,조합설립인가,37.59296,126.93733
숭인동 61-103,조합설립인가,37.57648,127.01848
신월동 941,조합설립인가,37.52782,126.83692
신길동 442-2,조합설립인가,37.3335204,126.77378
등촌동 365,조합설립인가,37.55772775,126.84820955192035
화곡동 424-63,조합설립인가,37.54208,126.84656
화곡동 1133-7,조합설립인가,37.54208,126.84656
노량진동 84-24,조합설립인가,37.5110101,126.9414634
면목동 371-134,조합설립인가,37.58178,127.09034
면목동 152-1,조합설립인가,37.58178,127.09034
장위동 68-435,조합설립인가,37.6162,127.05086
미아동 833-2,조합설립인가,37.628995,127.02575433718266
상도동 363-117,조합설립인가,36.01528,129.35519
상도동 159-52,조합설립인가,37.4988159,126.9441045
서초동 1478-12,조합설립인가,37.4775521,126.9837273
상계동 322-8,조합설립인가,37.66727,127.07242
대림동 786,조합설립인가,35.86723,128.74766
시흥동 919,조합설립인가,37.4507049,126.9085555
사당동 220-70,조합설립인가,37.4856963,126.9723525
여의도동 50,조합설립인가,,
천호동 221,조합설립인가,37.54294,127.12733
명일동 15,조합설립인가,37.54841,127.15158
성산동 165-72,조합설립인가,35.20092,128.67494
갈월동 92,조합설립인가,37.54487,126.9715441
장위동 238-83,조합설립인가,37.6162,127.05086
고척동 52-332,조합설립인가,37.5034631,126.8585846
창동 466,조합설립인가,37.64643,127.04326
창동 581-3,조합설립인가,37.64643,127.04326
방학동 343,조합설립인가,37.66442,127.03333
도봉동 625-80,조합설립인가,37.6826056,127.0425405
보광동 360,조합설립인가,37.5267109,127.00021654781031
고척동 241-337,조합설립인가,37.5034631,126.8585846
석촌동 287,조합설립인가,37.5024827,127.103495
면목동 63-28,조합설립인가,37.58178,127.09034
망원동 454-3,조합설립인가,37.55586,126.90087
상도동 210-110,조합설립인가,37.4988159,126.9441045
개봉동 298-33,조합설립인가,37.4931629,126.851736
봉천동 1535-37,조합설립인가,37.484665,126.9484961
천호동 145-66,조합설립인가,37.54294,127.12733
신길동 325-57,조합설립인가,37.3335204,126.77378
광장동 561,조합설립인가,37.54711,127.10414
방화동 286-1,조합설립인가,37.57682,126.81422
시흥동 817,조합설립인가,37.4507049,126.9085555
상도동 182-13,조합설립인가,37.4988159,126.9441045
중화동 122,조합설립인가,37.59755,127.07783
사당동 156-3,조합설립인가,37.4856963,126.9723525
봉천동 690,조합설립인가,37.484665,126.9484961
봉천동 26,조합설립인가,37.484665,126.9484961
황학동 2085,조합설립인가,37.5675499,127.02172
황학동 1010,조합설립인가,37.5675499,127.02172
사당동 161-55,조합설립인가,37.4856963,126.9723525
사당동 192-1,조합설립인가,37.4856963,126.9723525
면목동 109-2,조합설립인가,37.58178,127.09034
황학동 310,조합설립인가,37.5675499,127.02172
여의도동 51,조합설립인가,,
장위동 232-125,조합설립인가,37.6162,127.05086
신공덕동 6-3,조합설립인가,37.5447,126.95606
자양동 588-22,조합설립인가,36.3366812,127.4490374
대방동 391-63,조합설립인가,37.5067997,126.92913492678356
번동 458-31,조합설립인가,37.62929,127.03684
문정동 3,조합설립인가,37.490985,127.1197504
신림동 655-78,조합설립인가,37.48682825,126.92826657522511
방이동 217,조합설립인가,37.5141564,127.1195472
시흥동 933,조합설립인가,37.4507049,126.9085555
흑석동 43-7,조합설립인가,37.5064393,126.963687
송파동 100,조합설립인가,37.50479,127.11369
오금동 36-1,조합설립인가,37.348425399999996,126.92938338827679
중화동 327-49,조합설립인가,37.59755,127.07783
가락동 140,조합설립인가,35.190215,128.8920173
상봉동 304-4,조합설립인가,35.203496599999994,128.07191852499722
영등포동4가 431-6,조합설립인가,37.51777,126.90368
